Team,GP,WIN%,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%,Season,GP_15,WIN%_15,OFFRTG_15,DEFRTG_15,NETRTG_15,W_Post
Minnesota Timberwolves,53,0.20800000000000002,0.467,0.295,0.157,0.322,0.541,0.251,0.161,0.305,2014-15,17,0.353,102.3,108.4,-6.0,5
New Orleans Pelicans,53,0.509,0.493,0.267,0.14,0.32,0.503,0.261,0.134,0.284,2014-15,17,0.529,107.1,107.9,-0.8,18
New York Knicks,53,0.18899999999999997,0.48100000000000004,0.21600000000000003,0.156,0.293,0.516,0.316,0.157,0.314,2014-15,13,0.385,100.4,104.9,-4.5,7
Oklahoma City Thunder,53,0.528,0.488,0.281,0.154,0.305,0.47700000000000004,0.27899999999999997,0.145,0.278,2014-15,16,0.625,107.5,103.1,4.3,17
Orlando Magic,56,0.304,0.498,0.239,0.158,0.25,0.514,0.28600000000000003,0.147,0.27699999999999997,2014-15,16,0.25,103.4,109.8,-6.4,8
Philadelphia 76ers,53,0.226,0.456,0.3,0.193,0.284,0.5,0.292,0.177,0.317,2014-15,17,0.294,93.5,100.6,-7.0,6
Phoenix Suns,54,0.537,0.516,0.248,0.151,0.28,0.5,0.31,0.163,0.313,2014-15,15,0.467,104.2,106.2,-2.0,10
Portland Trail Blazers,53,0.679,0.503,0.231,0.14300000000000002,0.284,0.467,0.247,0.134,0.276,2014-15,16,0.43799999999999994,103.8,103.3,0.5,15
Sacramento Kings,52,0.34600000000000003,0.483,0.36700000000000005,0.16899999999999998,0.314,0.5,0.278,0.128,0.27399999999999997,2014-15,16,0.188,98.6,107.7,-9.1,11
San Antonio Spurs,53,0.642,0.505,0.258,0.149,0.27399999999999997,0.48200000000000004,0.255,0.147,0.272,2014-15,15,0.733,103.6,99.1,4.5,21
Toronto Raptors,53,0.679,0.51,0.304,0.136,0.312,0.504,0.293,0.157,0.311,2014-15,17,0.647,107.3,104.8,2.5,13
Utah Jazz,53,0.358,0.495,0.28600000000000003,0.166,0.332,0.506,0.261,0.136,0.29,2014-15,15,0.4,104.5,105.6,-1.1,19
Washington Wizards,54,0.611,0.508,0.265,0.157,0.29100000000000004,0.48200000000000004,0.28800000000000003,0.147,0.267,2014-15,18,0.444,103.5,102.0,1.4,13
Atlanta Hawks,55,0.564,0.516,0.242,0.154,0.242,0.488,0.253,0.171,0.307,2015-16,17,0.47100000000000003,101.8,98.0,3.8,17
Boston Celtics,55,0.5820000000000001,0.491,0.251,0.14300000000000002,0.287,0.478,0.316,0.16699999999999998,0.294,2015-16,19,0.684,110.0,104.1,6.0,16
Brooklyn Nets,54,0.259,0.48700000000000004,0.23199999999999998,0.158,0.275,0.525,0.228,0.146,0.28,2015-16,17,0.235,103.9,113.0,-9.0,7
Charlotte Hornets,53,0.509,0.49200000000000005,0.28300000000000003,0.134,0.249,0.498,0.24600000000000002,0.139,0.244,2015-16,17,0.588,105.8,103.8,2.0,21
Chicago Bulls,52,0.519,0.47700000000000004,0.24600000000000002,0.145,0.299,0.474,0.242,0.122,0.29,2015-16,17,0.294,102.5,108.2,-5.7,15
Cleveland Cavaliers,52,0.731,0.518,0.263,0.14300000000000002,0.294,0.49,0.27399999999999997,0.14300000000000002,0.258,2015-16,18,0.722,110.3,105.1,5.3,19
Dallas Mavericks,55,0.527,0.495,0.272,0.131,0.23399999999999999,0.501,0.26,0.14300000000000002,0.276,2015-16,18,0.444,104.2,108.2,-4.0,13
Denver Nuggets,54,0.40700000000000003,0.483,0.29,0.151,0.308,0.513,0.284,0.14400000000000002,0.271,2015-16,17,0.529,107.4,106.5,0.9,11
Detroit Pistons,54,0.5,0.486,0.29100000000000004,0.14,0.321,0.5,0.26,0.14800000000000002,0.255,2015-16,17,0.353,106.9,109.3,-2.4,17
Golden State Warriors,52,0.9229999999999999,0.564,0.264,0.151,0.27399999999999997,0.47,0.275,0.145,0.285,2015-16,15,0.867,115.9,102.7,13.2,25
Houston Rockets,55,0.491,0.51,0.35600000000000004,0.163,0.28800000000000003,0.519,0.284,0.16399999999999998,0.304,2015-16,18,0.5,107.5,110.0,-2.5,14
Indiana Pacers,53,0.528,0.496,0.276,0.155,0.27899999999999997,0.49,0.27399999999999997,0.16699999999999998,0.293,2015-16,17,0.41200000000000003,103.9,105.0,-1.1,17
LA Clippers,53,0.66,0.519,0.331,0.132,0.24,0.483,0.306,0.156,0.29600000000000004,2015-16,16,0.688,107.8,103.3,4.5,18
Los Angeles Lakers,55,0.2,0.45799999999999996,0.28600000000000003,0.145,0.27,0.514,0.27399999999999997,0.131,0.293,2015-16,17,0.17600000000000002,99.1,110.3,-11.1,6
Memphis Grizzlies,53,0.585,0.48100000000000004,0.302,0.14,0.278,0.506,0.316,0.174,0.289,2015-16,15,0.733,111.0,107.2,3.8,11
Miami Heat,53,0.547,0.499,0.284,0.152,0.259,0.485,0.24100000000000002,0.138,0.27,2015-16,16,0.43799999999999994,99.7,106.3,-6.5,19
Milwaukee Bucks,54,0.40700000000000003,0.495,0.278,0.161,0.29,0.506,0.302,0.159,0.315,2015-16,16,0.43799999999999994,103.7,105.6,-1.9,11
Minnesota Timberwolves,54,0.315,0.48700000000000004,0.33399999999999996,0.154,0.285,0.516,0.28300000000000003,0.14800000000000002,0.29,2015-16,17,0.294,109.5,112.9,-3.4,12
New Orleans Pelicans,53,0.377,0.49700000000000005,0.249,0.133,0.252,0.517,0.275,0.14,0.262,2015-16,18,0.5,108.4,108.1,0.3,10
New York Knicks,55,0.418,0.48100000000000004,0.267,0.142,0.289,0.486,0.29,0.124,0.289,2015-16,17,0.294,104.9,108.9,-4.1,9
Oklahoma City Thunder,54,0.741,0.523,0.297,0.158,0.341,0.48200000000000004,0.27,0.139,0.287,2015-16,17,0.8240000000000001,114.0,105.2,8.9,15
Orlando Magic,52,0.442,0.495,0.217,0.153,0.28,0.5,0.278,0.153,0.27399999999999997,2015-16,14,0.214,102.0,107.8,-5.8,12
Philadelphia 76ers,53,0.151,0.484,0.266,0.18100000000000002,0.263,0.504,0.301,0.155,0.29600000000000004,2015-16,14,0.28600000000000003,99.4,104.5,-5.1,2
Phoenix Suns,54,0.259,0.494,0.264,0.171,0.287,0.528,0.311,0.156,0.273,2015-16,15,0.067,98.3,111.7,-13.4,9
Portland Trail Blazers,54,0.5,0.506,0.252,0.153,0.301,0.499,0.318,0.138,0.265,2015-16,15,0.8,109.8,102.9,6.9,17
Sacramento Kings,53,0.415,0.509,0.301,0.162,0.28600000000000003,0.521,0.266,0.155,0.272,2015-16,16,0.43799999999999994,106.1,108.0,-1.8,11
San Antonio Spurs,53,0.8490000000000001,0.535,0.24100000000000002,0.141,0.26899999999999996,0.469,0.245,0.155,0.244,2015-16,15,0.867,112.6,100.8,11.9,22
